,hosts,number of nodes,switches
0,"[0, 968, 912, 534, 152, 731, 828, 64, 450, 709, 843, 150, 631, 780, 471, 952, 318, 836, 14, 177, 46, 123, 256, 815, 561, 628, 727, 714, 377, 634, 378, 510]",32,[]
1,"[1, 871, 489, 75, 153, 411, 167, 290, 839, 840, 856, 861, 257, 6, 16, 18, 853, 617, 592, 505, 988, 735, 707, 677, 361, 558, 690, 297, 942, 881, 251, 959, 813, 782, 944, 339, 613, 752, 626, 284]",40,[]
2,"[4, 32, 964, 174, 633, 441, 63, 235, 528, 817, 347, 702, 258, 807, 814, 922, 348, 775, 171, 304, 183, 708, 842, 398, 180, 797, 326, 265, 589, 693, 513, 578, 107, 527, 766, 866, 803, 38, 543, 583]",40,[]
3,"[1, 871, 489, 75, 153, 411, 167, 290]",8,[]
4,"[2, 677, 45, 209, 178, 341, 890, 448]",8,[]
5,"[3, 260, 362, 239, 16, 772, 27, 712]",8,[]
6,"[5, 865, 486, 15, 117, 379, 383, 974]",8,[]
7,"[8, 356, 295, 1007, 756, 694, 215, 517]",8,[]
8,"[9, 745, 781, 622, 777, 472, 573, 128]",8,[]
9,"[10, 384, 962, 973, 976, 210, 571, 297]",8,[]
10,"[11, 855, 270, 818, 851, 407, 989, 873]",8,[]
11,"[12, 422, 424, 268, 971, 172, 762, 864]",8,[]
12,"[5, 865, 486, 15, 117, 379, 383, 974]",8,[]
13,"[4, 32, 964, 174, 633, 441, 63, 235, 528, 817, 347, 702, 258, 807, 814, 922, 348, 775, 171, 304, 881, 183, 708, 842, 398, 180, 797, 326, 265, 589, 693, 513, 578, 107, 527, 766, 866, 803, 38, 543]",40,[]
14,"[4, 32, 964, 174, 633, 441, 63, 235]",8,[]
15,"[10, 384, 962, 973, 976, 210, 571, 297, 334, 789, 251, 262, 459, 312, 542, 159, 416, 533, 795, 253, 277, 129, 813, 466, 311, 698, 737, 555, 53, 221, 382, 801, 264, 267, 718, 375, 616, 140, 28, 650]",40,[]
16,"[13, 612, 457, 363, 819, 635, 254, 34, 742, 326, 423, 753, 320, 641, 354, 675, 487, 160, 161, 39, 850, 119, 643, 364, 47, 1008, 88, 512, 817, 371, 824, 223, 483, 806, 618, 1010, 911, 708, 922, 187]",40,[]
17,"[4, 32, 964, 174, 633, 441, 63, 235]",8,[]
18,"[5, 865, 486, 15, 117, 379, 383, 974]",8,[]
19,"[10, 384, 962, 973, 976, 210, 571, 297, 334, 789, 251, 262, 459, 312, 542, 159, 416, 533, 795, 253, 277, 129, 813, 466, 311, 698, 737, 555, 53, 221, 382, 801, 264, 267, 718, 375, 616, 140, 28, 650]",40,[]
20,"[12, 422, 424, 268, 971, 172, 762, 864, 329, 366, 405, 765, 581, 688, 337, 605, 512, 803, 452, 232, 325, 348, 981, 188, 861, 193, 649, 882, 791, 26, 740, 751]",32,[]
21,"[1, 871, 489, 75, 153, 411, 167, 290]",8,[]
22,"[5, 865, 486, 15, 117, 379, 383, 974]",8,[]
23,"[0, 968, 912, 534, 152, 731, 828, 64, 450, 709, 843, 150, 631, 780, 471, 952, 318, 836, 14, 177, 46, 123, 256, 815, 561, 628, 727, 714, 377, 634]",30,[]
24,"[10, 384, 962, 973, 976, 210, 571, 297, 334, 789, 251, 262, 459, 312, 542, 159, 416, 533, 795, 253, 277, 129, 813, 466, 311, 698, 737, 555, 53, 221]",30,[]
25,"[13, 612, 457, 363, 819, 635, 254, 34, 742, 326, 423, 753, 320, 641, 354, 675, 487, 160, 161, 39, 850, 119, 643, 364, 47, 1008, 88, 817, 371, 824]",30,[]
26,"[21, 897, 103, 336, 668, 798, 816, 488, 810, 76, 755, 54, 866, 909, 23, 893, 597, 171, 988, 587, 599, 572, 387, 6, 522, 402, 680, 617, 980, 681]",30,[]
27,"[33, 421, 392, 109, 495, 776, 82, 134, 689, 600, 825, 444, 296, 81, 566, 697, 1000, 330, 723, 788]",20,[]
28,"[35, 577, 707, 72, 716, 563, 121, 969, 939, 942, 272, 531, 801, 983, 700, 294, 520, 1004, 725, 480]",20,[]
29,"[41, 832, 933, 615, 713, 173, 190, 608, 97, 741, 57, 923, 881, 18, 186, 122, 289, 614, 321, 793]",20,[]
30,"[43, 993, 201, 619, 750, 888, 125, 225, 306, 990, 785, 754, 212, 568, 666, 771, 264, 141, 1022, 163]",20,[]
31,"[49, 293, 710, 359, 949, 412, 895, 928, 870, 618, 276, 667, 243, 598, 938, 996, 904, 278, 567, 944]",20,[]
32,"[50, 867, 519, 808, 302, 374, 376, 96, 331, 797, 734, 418, 112, 919, 984, 258, 328, 461, 782, 427]",20,[]
33,"[59, 142, 854, 537, 218, 286, 223, 646, 168, 715, 145, 730, 672, 856, 986, 475, 794, 924, 95, 327]",20,[]
34,"[65, 586, 491, 1005, 590, 220, 926, 73, 301, 880, 154, 511, 111, 978, 211, 453, 437, 607, 998, 526]",20,[]
35,"[71, 357, 838, 426, 307, 1013, 763, 839, 879, 728, 514, 840, 107, 985, 191, 401, 717, 948, 906, 848]",20,[]
36,"[80, 652, 621, 114, 1012, 375, 892, 1009, 536, 179, 120, 544, 642, 443, 834, 360, 386, 758, 410, 576]",20,[]
37,"[91, 560, 104, 137, 556, 656, 596, 903, 505, 764, 391, 535, 868, 773, 135, 404, 319, 66, 67, 957]",20,[]
38,"[98, 545, 291, 169, 398, 430, 182, 706, 853, 280, 482, 774, 724, 285, 230, 110, 841, 770, 37, 304]",20,[]
39,"[118, 195, 425, 625, 916, 445, 702, 930, 580, 90, 228, 198, 630, 476, 802, 1017, 442, 935, 977, 451]",20,[]
40,"[170, 1001, 460, 399, 564, 250, 703, 226, 299, 620, 500, 205, 811, 397, 58, 927, 355, 869, 184, 395]",20,[]
41,"[204, 579, 504, 690, 696, 857, 831, 1010, 242, 692, 538, 970, 436, 439, 699, 263, 175, 822, 637, 127]",20,[]
42,"[236, 200, 940, 494, 241, 979, 87, 674, 902, 44, 415, 589, 660, 626, 435, 884, 695, 951, 575, 203]",20,[]
43,"[49, 293, 710, 359, 949, 412, 895, 928, 870, 618, 276, 667, 243, 598, 938, 996, 904, 278, 567, 944]",20,[]
44,"[240, 896, 420, 721, 309, 918, 92, 454, 429, 623, 917, 28, 497, 438, 55, 792, 409, 99, 394, 941]",20,[]
45,"[345, 610, 428, 624, 305, 499, 116, 353, 887, 875, 367, 1021, 992, 322, 393, 931, 565, 351, 738, 744]",20,[]
46,"[551, 485, 687, 470, 344, 943, 61, 640, 282, 684, 557, 914, 733, 525, 247, 513, 987, 207, 51, 333]",20,[]
47,"[657, 140, 720, 722, 85, 541, 414, 313, 323, 783, 349, 157, 959, 521, 83, 1019, 108, 462, 921, 227]",20,[]
48,"[59, 142, 854, 537, 218, 286, 223, 646, 168, 715, 145, 730, 672, 856, 986, 475, 794, 924, 95, 327]",20,[]
49,"[671, 194, 133, 458, 1006, 1018, 165, 288, 994, 1003, 827, 995, 68, 718, 507, 910, 574, 663, 899, 549]",20,[]
50,"[65, 586, 491, 1005, 590, 220, 926, 73, 301, 880, 154, 511, 111, 978, 211, 453, 437, 607, 998, 526]",20,[]
