,hosts,number of nodes,switches
0,"[0, 69]",1,[]
1,"[1, 736]",1,[]
2,"[2, 138, 109, 239, 208, 630, 376, 416]",8,[]
3,"[3, 165, 903, 743, 652, 16, 20, 613, 392, 812, 429, 303, 657, 968, 556, 264, 1010, 105, 878, 80, 942, 525, 686, 465, 739, 567, 868, 454, 715, 272, 900, 738]",32,[]
4,"[4, 960, 801, 642, 618, 408, 984]",7,[]
5,"[2, 138]",1,[]
6,"[5, 526, 93, 374, 247]",5,[]
7,"[6, 891]",1,[]
8,[],0,[]
9,"[7, 258]",1,[]
10,"[8, 288, 480, 610, 79, 977, 57, 612, 662, 630, 764]",11,[]
11,"[9, 290, 99, 1001, 396, 463, 565, 135, 375, 343, 379, 1022, 582, 208, 758, 158, 161, 699, 334, 239, 859, 517, 974, 370, 762, 576, 932, 998, 617, 677, 15, 570]",32,[]
12,"[10, 226, 549, 871, 426, 615, 1011, 978, 692, 88, 362]",11,[]
13,"[11, 320, 322, 580, 137, 78, 691, 675, 365, 751, 479, 581, 685, 752, 117, 607, 387, 201, 877, 13, 314, 481, 940, 14]",24,[]
14,"[12, 260]",2,[]
15,"[17, 193, 489, 943, 969, 539, 964, 363, 332, 22, 569, 173, 661, 919, 508, 127]",16,[]
16,"[18, 360, 141, 947, 121, 223, 639, 995]",8,[]
17,"[19, 36, 844, 687, 1008, 470, 61, 742]",8,[]
18,"[18, 360, 141, 947, 121, 223, 639, 995]",8,[]
19,"[21, 34, 711, 712, 524, 344, 730, 774, 856, 27, 385, 399, 500, 118, 635, 494]",16,[]
20,"[23, 400, 107, 719, 624, 347, 671, 448, 834, 405, 249, 316, 529, 278, 824, 640]",16,[]
21,"[21, 34, 711, 712, 524, 344, 730, 774, 856, 27, 385, 399, 500, 118, 635, 494]",16,[]
22,"[12, 260]",1,[]
23,"[18, 360]",2,[]
24,"[11, 320, 322, 580]",4,[]
25,"[13, 844, 781, 626, 1020, 64, 202, 19, 603, 931, 395]",11,[]
26,"[14, 230]",2,[]
27,"[14, 230]",1,[]
28,"[17, 193]",2,[]
29,"[18, 360]",1,[]
30,"[1, 736, 228, 965, 125, 511, 561, 115, 856, 313, 514, 229, 369, 150, 959, 418, 517, 535, 601, 284, 97, 687, 562, 314, 59, 674, 908, 693, 251, 222, 493, 83]",32,[]
31,"[7, 258, 588, 77, 304, 338, 473, 1004, 623, 689, 628, 789, 641, 135, 823, 380, 351, 902, 650, 282, 90, 638, 33, 675, 589, 911, 417, 458, 664, 379, 316, 394]",32,[]
32,"[1, 736, 228, 965, 125, 511, 561, 115, 856, 313, 514, 229, 369, 150, 959, 418, 517, 535, 601, 284, 97, 687, 562, 314, 59, 674, 908, 693, 251, 222, 493, 83]",32,[]
33,"[7, 258, 588, 77, 304, 338, 473, 1004, 623, 689, 628, 789, 641, 135, 823, 380, 351, 902, 650, 282, 90, 638, 33, 675, 589, 911, 417, 458, 664, 379, 316, 394, 325, 680, 622, 616, 860, 488, 658, 444, 541, 397, 792, 890, 573, 423, 876, 780, 987, 318, 198, 236, 273, 568, 445, 293, 462, 113, 345, 129, 836, 901, 1003, 116]",64,[]
