,hosts,number of nodes,switches
0,"[0, 110]",1,[]
1,"[1, 902]",1,[]
2,"[2, 34, 715, 721, 277, 952, 1018, 266]",8,[]
3,"[3, 931, 1001, 112, 822, 504, 857, 829, 751, 466, 477, 479, 130, 548, 748, 689, 609, 627, 856, 409, 63, 807, 778, 519, 172, 255, 323, 392, 1004, 111, 956, 196]",32,[]
4,"[4, 109, 341, 662, 191, 60, 223]",7,[]
5,"[2, 34]",1,[]
6,"[5, 897, 166, 230, 683]",5,[]
7,"[6, 162]",1,[]
8,[],0,[]
9,"[7, 291]",1,[]
10,"[8, 387, 817, 782, 145, 539, 671, 687, 976, 435, 122]",11,[]
11,"[9, 771, 971, 205, 599, 701, 703, 899, 630, 137, 982, 573, 406, 712, 949, 886, 922, 963, 966, 646, 311, 348, 769, 837, 1002, 78, 851, 298, 1007, 1008, 915, 1018]",32,[]
12,"[12, 391, 489, 267, 460, 688, 151, 835, 550, 263, 265]",11,[]
13,"[13, 551, 332, 845, 500, 696, 412, 578, 388, 997, 469, 759, 485, 262, 458, 85, 797, 644, 103, 176, 56, 261, 648, 685]",24,[]
14,"[14, 481]",2,[]
15,"[15, 294, 234, 626, 530, 245, 170, 777, 363, 366, 180, 681, 73, 536, 190, 427]",16,[]
16,"[16, 289, 355, 297, 788, 53, 87, 868]",8,[]
17,"[17, 611, 937, 944, 1009, 786, 115, 721]",8,[]
18,"[26, 424, 233, 684, 211, 441, 285, 768]",8,[]
19,"[16, 289, 355, 297, 788, 53, 87, 868, 645, 390, 577, 357, 582, 889, 795, 833]",16,[]
20,"[28, 525, 848, 470, 955, 508, 702, 780, 461, 368, 281, 59, 993, 588, 1017, 987]",16,[]
21,"[16, 289, 355, 297, 788, 53, 87, 868, 645, 390, 577, 357, 582, 889, 795, 833]",16,[]
22,"[14, 481]",1,[]
23,"[15, 294]",2,[]
24,"[13, 551, 332, 845]",4,[]
25,"[15, 294, 234, 626, 530, 245, 170, 777, 363, 366, 180]",11,[]
26,"[16, 289]",2,[]
27,"[16, 289]",1,[]
28,"[17, 611]",2,[]
29,"[22, 681]",1,[]
30,"[9, 771, 971, 205, 599, 701, 703, 899, 630, 137, 982, 573, 406, 712, 949, 886, 922, 963, 966, 646, 311, 348, 769, 837, 1002, 78, 851, 298, 1007, 1008, 915, 1018]",32,[]
31,"[7, 291, 964, 331, 146, 373, 187, 865, 521, 308, 54, 445, 33, 739, 804, 144, 740, 465, 755, 695, 314, 260, 693, 759, 1016, 764, 384, 999, 972, 558, 117, 620]",32,[]
32,"[9, 771, 971, 205, 599, 701, 703, 899, 630, 137, 982, 573, 406, 712, 949, 886, 922, 963, 966, 646, 311, 348, 769, 837, 1002, 78, 851, 298, 1007, 1008, 915, 1018]",32,[]
33,"[7, 291, 964, 331, 146, 373, 187, 865, 521, 308, 54, 445, 33, 739, 804, 144, 740, 465, 755, 695, 314, 260, 693, 759, 1016, 764, 384, 999, 972, 558, 117, 620, 941, 433, 349, 678, 843, 318, 261, 407, 20, 855, 29, 133, 1003, 754, 818, 275, 641, 485, 141, 496, 283, 948, 597, 675, 457, 651, 304, 18, 365, 784, 119, 565]",64,[]
