,hosts,number of nodes,switches
0,"[0, 165, 614, 877, 337, 690, 211, 322, 259, 809, 661, 666, 37, 366, 210, 53, 373, 706, 813, 815, 121, 767, 448, 584, 944, 695, 570, 96, 234, 908, 114, 704]",32,[]
1,"[1, 206, 499, 339, 788, 149, 63, 835, 423, 203, 157, 31, 544, 199, 364, 717, 755, 392, 148, 565, 215, 789, 833, 966, 743, 403, 307, 9, 396, 466, 85, 984, 674, 42, 204, 271, 778, 992, 257, 1021]",40,[]
2,"[1, 206, 499, 339, 788, 149, 63, 835, 423, 203, 157, 31, 544, 199, 364, 717, 755, 392, 148, 565, 215, 789, 833, 966, 154, 573, 700, 243, 860, 929, 301, 45, 947, 475, 887, 438, 823, 795, 837, 906]",40,[]
3,"[2, 644, 842, 564, 311, 516, 220, 420]",8,[]
4,"[3, 740, 616, 74, 459, 152, 766, 141]",8,[]
5,"[4, 361, 682, 748, 49, 407, 380, 679]",8,[]
6,"[6, 869, 572, 587, 660, 822, 540, 9]",8,[]
7,"[8, 418, 167, 647, 528, 978, 728, 523]",8,[]
8,"[10, 482, 145, 25, 471, 313, 444, 481]",8,[]
9,"[15, 487, 845, 401, 692, 280, 511, 806]",8,[]
10,"[18, 288, 640, 913, 563, 603, 796, 483]",8,[]
11,"[19, 97, 130, 870, 296, 493, 761, 897]",8,[]
12,"[6, 869, 572, 587, 660, 822, 540, 9]",8,[]
13,"[1, 206, 499, 339, 788, 149, 63, 835, 423, 203, 157, 31, 544, 199, 364, 717, 755, 392, 148, 565, 215, 789, 833, 966, 743, 403, 307, 396, 466, 85, 984, 674, 42, 204, 271, 778, 992, 257, 1021, 154]",40,[]
14,"[15, 487, 845, 401, 692, 280, 511, 806]",8,[]
15,"[1, 206, 499, 339, 788, 149, 63, 835, 423, 203, 157, 31, 544, 199, 364, 717, 755, 392, 148, 565, 215, 789, 833, 966, 743, 403, 307, 396, 466, 85, 984, 674, 42, 204, 271, 778, 992, 257, 1021, 154]",40,[]
16,"[22, 101, 505, 890, 383, 990, 421, 918, 718, 308, 825, 508, 961, 233, 56, 431, 1016, 317, 938, 300, 820, 885, 318, 576, 963, 13, 664, 283, 230, 243, 435, 696, 731, 270, 945, 467, 793, 922, 772, 491]",40,[]
17,"[1, 206, 499, 339, 788, 149, 63, 835]",8,[]
18,"[6, 869, 572, 587, 660, 822, 540, 9]",8,[]
19,"[15, 487, 845, 401, 692, 280, 511, 806, 911, 784, 915, 698, 615, 585, 691, 495, 831, 297, 810, 432, 415, 865, 681, 441, 697, 225, 939, 154, 891, 1002, 367, 372, 188, 319, 580, 620, 143, 16, 733, 235]",40,[]
20,"[19, 97, 130, 870, 296, 493, 761, 897, 419, 276, 851, 226, 470, 200, 182, 247, 480, 546, 997, 468, 440, 576, 964, 422, 635, 166, 582, 684, 725, 449, 968, 745]",32,[]
21,"[2, 644, 842, 564, 311, 516, 220, 420]",8,[]
22,"[6, 869, 572, 587, 660, 822, 540, 9]",8,[]
23,"[0, 165, 614, 877, 337, 690, 211, 322, 259, 809, 661, 666, 37, 366, 210, 53, 373, 706, 813, 815, 121, 767, 448, 584, 944, 695, 570, 96, 234, 908]",30,[]
24,"[15, 487, 845, 401, 692, 280, 511, 806, 911, 784, 915, 698, 615, 585, 691, 495, 831, 297, 810, 432, 415, 865, 681, 441, 697, 225, 939, 154, 891, 1002]",30,[]
25,"[20, 613, 743, 878, 335, 846, 858, 719, 17, 342, 476, 803, 143, 670, 609, 131, 801, 398, 465, 976, 137, 752, 472, 1019, 354, 683, 75, 975, 169, 779]",30,[]
26,"[22, 101, 505, 890, 383, 990, 421, 918, 718, 308, 825, 508, 961, 233, 56, 717, 431, 1016, 317, 938, 300, 820, 885, 318, 963, 13, 664, 283, 230, 243]",30,[]
27,"[24, 736, 580, 805, 712, 778, 479, 710, 839, 264, 14, 486, 881, 759, 379, 36, 876, 11, 76, 606]",20,[]
28,"[30, 932, 744, 266, 781, 466, 275, 901, 326, 619, 92, 61, 197, 429, 667, 799, 898, 536, 510, 88]",20,[]
29,"[32, 160, 737, 771, 358, 277, 123, 357, 597, 381, 929, 184, 703, 998, 433, 81, 307, 671, 262, 979]",20,[]
30,"[38, 678, 649, 605, 777, 859, 733, 833, 747, 600, 889, 826, 645, 7, 365, 16, 438, 768, 48, 595]",20,[]
31,"[40, 524, 594, 274, 119, 792, 90, 256, 153, 734, 959, 817, 298, 920, 179, 87, 315, 689, 588, 488]",20,[]
32,"[41, 544, 933, 139, 368, 539, 509, 591, 245, 99, 133, 467, 148, 709, 135, 940, 763, 607, 800, 450]",20,[]
33,"[57, 163, 935, 714, 956, 893, 958, 168, 531, 948, 350, 485, 12, 494, 293, 909, 50, 409, 443, 359]",20,[]
34,"[62, 390, 653, 782, 45, 146, 543, 780, 287, 94, 702, 896, 69, 136, 205, 829, 504, 201, 593, 888]",20,[]
35,"[67, 553, 852, 341, 724, 282, 159, 931, 955, 21, 258, 776, 240, 787, 987, 257, 231, 490, 1007, 426]",20,[]
36,"[77, 906, 656, 402, 659, 500, 473, 95, 255, 31, 720, 241, 947, 442, 895, 675, 104, 140, 632, 515]",20,[]
37,"[89, 519, 23, 535, 1017, 988, 286, 161, 970, 208, 375, 320, 583, 552, 325, 42, 186, 489, 758, 604]",20,[]
38,"[109, 867, 198, 646, 525, 144, 371, 518, 808, 941, 526, 78, 65, 930, 742, 857, 98, 676, 937, 370]",20,[]
39,"[116, 550, 713, 586, 108, 269, 351, 170, 726, 1015, 762, 171, 238, 912, 246, 345, 27, 555, 612, 965]",20,[]
40,"[162, 610, 522, 751, 530, 278, 892, 34, 83, 775, 396, 118, 551, 840, 841, 589, 790, 823, 636, 864]",20,[]
41,"[217, 769, 328, 114, 786, 887, 601, 387, 455, 874, 579, 750, 439, 355, 814, 966, 853, 28, 457, 362]",20,[]
42,"[223, 384, 548, 950, 794, 251, 93, 928, 654, 127, 227, 316, 565, 333, 980, 983, 557, 657, 413, 704]",20,[]
43,"[236, 560, 581, 289, 265, 112, 507, 517, 1000, 463, 151, 386, 652, 388, 818, 1021, 904, 821, 55, 106]",20,[]
44,"[304, 73, 496, 949, 730, 156, 346, 129, 541, 1001, 673, 658, 916, 567, 445, 1022, 735, 611, 260, 549]",20,[]
45,"[331, 35, 229, 680, 174, 113, 628, 807, 520, 951, 721, 82, 886, 218, 228, 538, 348, 856, 795, 221]",20,[]
46,"[340, 967, 391, 974, 336, 1012, 927, 547, 914, 925, 992, 849, 596, 132, 134, 824, 634, 367, 598, 399]",20,[]
47,"[40, 524, 594, 274, 119, 792, 90, 256, 153, 734, 959, 817, 298, 920, 179, 87, 315, 689, 588, 488]",20,[]
48,"[559, 385, 715, 1006, 783, 110, 952, 994, 618, 1011, 753, 454, 621, 244, 923, 111, 273, 862, 327, 46]",20,[]
49,"[578, 424, 847, 213, 953, 732, 191, 819, 631, 622, 178, 694, 993, 349, 460, 674, 848, 347, 756, 701]",20,[]
50,"[686, 834, 425, 330, 427, 428, 627, 392, 177, 314, 873, 301, 303, 86, 54, 924, 512, 899, 403, 760]",20,[]
