,hosts,number of nodes,switches
0,"[0, 448, 868, 7, 648, 679, 173, 503, 986, 667, 893, 321, 738, 104, 235, 141, 942, 116, 245, 829, 771, 755, 20, 374, 343, 987, 188, 541, 670, 806, 9, 970, 557, 720, 597, 570, 682, 383, 545, 390, 937, 42, 847, 407, 783, 766, 479, 130, 619, 175, 335, 822, 859, 797, 127, 5, 359, 649, 621, 881, 532, 918, 92, 736, 358, 128, 247, 204, 25, 697, 1017, 698, 577, 930, 4, 169, 593, 658, 506, 765, 733, 99, 731, 650, 431, 274, 899, 443, 861, 676, 903, 392, 747, 271, 81, 527, 222, 707, 584, 300, 301, 526, 626, 181, 376, 1023, 896, 547, 997, 774, 515, 989, 606, 464, 324, 551, 45, 303, 336, 695, 15, 512, 932, 902, 394, 719, 516, 317]",128,[]
1,"[2, 931, 452, 709, 583, 424, 713, 529, 214, 346, 28, 258, 451, 229, 363, 785, 403, 596, 665, 708, 716, 945, 659, 884, 85, 641, 901, 43, 79, 371, 148, 953, 827, 737, 133, 199, 674, 114, 594, 152, 666, 955, 835, 646, 455, 267, 51, 249, 154, 508, 602, 362, 205, 429, 17, 915, 501, 922, 414, 420, 294, 172, 589, 786, 727, 794, 860, 446, 960, 740, 966, 1000, 427, 780, 480, 481, 68, 712, 203, 404, 534, 153, 730, 711, 874, 688, 657, 1011, 1015, 226, 328, 809, 13, 654, 500, 122, 604, 890, 513, 706, 97, 616, 842, 558, 983, 475, 318, 96, 625, 818, 760, 219, 956, 991, 393, 396, 689, 950, 361, 768, 233, 590, 591, 663, 350, 671, 555, 548]",128,[]
2,"[0, 448, 868, 7, 648, 679, 173, 503, 986, 667, 893, 321, 738, 104, 235, 141, 942, 116, 245, 829, 771, 755, 20, 374, 343, 987, 188, 541, 670, 806, 9, 970, 557, 720, 597, 570, 682, 383, 545, 390, 937, 42, 847, 407, 783, 766, 479, 130, 619, 175, 335, 822, 859, 797, 127, 5, 359, 649, 621, 881, 532, 918, 92, 736, 358, 128, 247, 204, 25, 697, 1017, 698, 577, 930, 4, 169, 593, 658, 506, 765, 733, 99, 731, 650, 431, 274, 899, 443, 861, 676, 903, 392, 747, 271, 81, 527, 222, 707, 584, 300, 301, 526, 626, 181, 376, 1023, 896, 547, 997, 774, 515, 989, 606, 464, 324, 551, 45, 303, 336, 695, 15, 512, 932, 902, 394, 719, 516, 317]",128,[]
3,"[6, 672, 995, 968, 951, 849, 117, 342, 887, 472, 216, 98, 132, 1002, 651, 12, 685, 238, 379, 704, 517, 232, 620, 312, 628, 86, 381, 568, 761, 123, 519, 936, 750, 400, 856, 347, 160, 832, 579, 456, 536, 54, 88, 125, 497, 948, 437, 763, 351, 900, 843, 560, 56, 62, 225, 3, 167, 935, 461, 176, 275, 870, 1020, 815, 913, 690, 476, 954, 108, 559, 883, 623, 608, 291, 102, 873, 234, 63, 572, 255, 998, 202, 974, 853, 886, 631, 539, 994, 906, 236, 19, 445, 767, 973, 331, 1005, 14, 432, 537, 644, 8, 41, 121, 326, 487, 106, 848, 138, 316, 477, 287, 576, 354, 965, 585, 751, 208, 724, 246, 139, 1006, 946, 927, 741, 39, 171, 212, 762]",128,[]
4,"[0, 448, 868, 7, 648, 679, 173, 503, 986, 667, 893, 321, 738, 104, 235, 141, 942, 116, 245, 829, 771, 755, 20, 374, 343, 987, 188, 541, 670, 806, 9, 970, 557, 720, 597, 570, 682, 383, 545, 390, 937, 42, 847, 407, 783, 766, 479, 130, 619, 175, 335, 822, 859, 797, 127, 5, 359, 649, 621, 881, 532, 918, 92, 736, 358, 128, 247, 204, 25, 697, 1017, 698, 577, 930, 4, 169, 593, 658, 506, 765, 733, 99, 731, 650, 431, 274, 899, 443, 861, 676, 903, 392, 747, 271, 81, 527, 222, 707, 584, 300, 301, 526, 626, 181, 376, 1023, 896, 547, 997, 774, 515, 989, 606, 464, 324, 551, 45, 303, 336, 695, 15, 512, 932, 902, 394, 719, 516, 317]",128,[]
5,"[0, 448]",1,[]
6,"[0, 448, 868, 7, 648, 679, 173, 503, 986, 667, 893, 321, 738, 104, 235, 141, 942, 116, 245, 829, 771, 755, 20, 374, 343, 987, 188, 541, 670, 806, 9, 970]",32,[]
7,"[2, 931]",1,[]
8,"[0, 448]",2,[]
9,"[1, 898]",1,[]
